"","ImpervAreaKm2_300m","WaterKm2_300m","IceSnowKm2_300m","DevOpenKm2_300m","DevLowKm2_300m","DevMedKm2_300m","DevHighKm2_300m","BarrenKm2_300m","DeciduousKm2_300m","EvergreenKm2_300m","MixedForKm2_300m","ShrubKm2_300m","GrassKm2_300m","PastureKm2_300m","CropsKm2_300m","WoodyWetKm2_300m","HerbWetKm2_300m","CHLA"
"ImpervAreaKm2_300m",1,0.713,-0.012,0.877,0.973,0.948,0.823,0.455,0.589,0.543,0.603,0.372,0.426,0.715,0.566,0.636,0.558,0.078
"WaterKm2_300m",0.713,1,-0.015,0.761,0.659,0.654,0.574,0.484,0.662,0.574,0.576,0.411,0.534,0.653,0.539,0.657,0.596,0.058
"IceSnowKm2_300m",-0.012,-0.015,1,-0.016,-0.013,-0.009,-0.006,-0.004,-0.016,0.016,-0.009,-0.001,-0.015,-0.012,-0.012,-0.012,-0.01,-0.049
"DevOpenKm2_300m",0.877,0.761,-0.016,1,0.843,0.77,0.665,0.444,0.739,0.605,0.678,0.352,0.502,0.748,0.58,0.65,0.539,0.085
"DevLowKm2_300m",0.973,0.659,-0.013,0.843,1,0.888,0.739,0.381,0.546,0.489,0.565,0.317,0.376,0.668,0.522,0.606,0.524,0.096
"DevMedKm2_300m",0.948,0.654,-0.009,0.77,0.888,1,0.884,0.417,0.532,0.468,0.536,0.302,0.349,0.653,0.569,0.57,0.519,0.069
"DevHighKm2_300m",0.823,0.574,-0.006,0.665,0.739,0.884,1,0.357,0.505,0.431,0.497,0.241,0.3,0.647,0.587,0.514,0.43,0.06
"BarrenKm2_300m",0.455,0.484,-0.004,0.444,0.381,0.417,0.357,1,0.366,0.393,0.354,0.466,0.451,0.458,0.387,0.454,0.494,-0.063
"DeciduousKm2_300m",0.589,0.662,-0.016,0.739,0.546,0.532,0.505,0.366,1,0.522,0.654,0.193,0.354,0.665,0.418,0.483,0.343,-0.003
"EvergreenKm2_300m",0.543,0.574,0.016,0.605,0.489,0.468,0.431,0.393,0.522,1,0.692,0.443,0.269,0.525,0.254,0.561,0.295,-0.148
"MixedForKm2_300m",0.603,0.576,-0.009,0.678,0.565,0.536,0.497,0.354,0.654,0.692,1,0.328,0.248,0.609,0.376,0.627,0.32,-0.027
"ShrubKm2_300m",0.372,0.411,-0.001,0.352,0.317,0.302,0.241,0.466,0.193,0.443,0.328,1,0.318,0.34,0.173,0.406,0.296,-0.113
"GrassKm2_300m",0.426,0.534,-0.015,0.502,0.376,0.349,0.3,0.451,0.354,0.269,0.248,0.318,1,0.406,0.351,0.326,0.451,0.058
"PastureKm2_300m",0.715,0.653,-0.012,0.748,0.668,0.653,0.647,0.458,0.665,0.525,0.609,0.34,0.406,1,0.637,0.61,0.488,0.096
"CropsKm2_300m",0.566,0.539,-0.012,0.58,0.522,0.569,0.587,0.387,0.418,0.254,0.376,0.173,0.351,0.637,1,0.527,0.536,0.231
"WoodyWetKm2_300m",0.636,0.657,-0.012,0.65,0.606,0.57,0.514,0.454,0.483,0.561,0.627,0.406,0.326,0.61,0.527,1,0.641,0.104
"HerbWetKm2_300m",0.558,0.596,-0.01,0.539,0.524,0.519,0.43,0.494,0.343,0.295,0.32,0.296,0.451,0.488,0.536,0.641,1,0.096
"CHLA",0.078,0.058,-0.049,0.085,0.096,0.069,0.06,-0.063,-0.003,-0.148,-0.027,-0.113,0.058,0.096,0.231,0.104,0.096,1
