"","PercentImperv_300m","NLCD_NA_Per_300m","WaterPer_300m","IceSnowPer_300m","DevOpenPer_300m","DevLowPer_300m","DevMedPer_300m","DevHighPer_300m","BarrenPer_300m","DeciduousPer_300m","EvergreenPer_300m","MixedForPer_300m","ShrubPer_300m","GrassPer_300m","PasturePer_300m","CropsPer_300m","WoodyWetPer_300m","HerbWetPer_300m","log1p(Data.play[, 158])"
"PercentImperv_300m",1,-0.006,0.014,-0.03,0.611,0.925,0.902,0.744,-0.027,-0.099,-0.19,-0.141,-0.105,-0.159,0.031,-0.005,0.049,0.033,0.125
"NLCD_NA_Per_300m",-0.006,1,0.051,-0.001,-0.023,-0.006,0.01,0.007,0.011,-0.021,-0.008,-0.012,0.083,-0.031,0,-0.015,-0.01,-0.011,-0.033
"WaterPer_300m",0.014,0.051,1,-0.027,0.014,0.011,0.039,0.052,-0.036,-0.072,-0.198,-0.057,-0.23,0.073,-0.049,0.09,-0.049,0.097,0.125
"IceSnowPer_300m",-0.03,-0.001,-0.027,1,-0.038,-0.022,-0.016,-0.011,0.032,-0.023,0.072,-0.004,0.028,-0.019,-0.021,-0.019,-0.026,-0.023,-0.049
"DevOpenPer_300m",0.611,-0.023,0.014,-0.038,1,0.59,0.43,0.297,-0.138,0.126,-0.231,-0.024,-0.25,-0.177,0.144,0.132,0.053,-0.039,0.157
"DevLowPer_300m",0.925,-0.006,0.011,-0.022,0.59,1,0.779,0.58,-0.021,-0.045,-0.177,-0.089,-0.141,-0.192,0.062,0.02,0.091,0.032,0.129
"DevMedPer_300m",0.902,0.01,0.039,-0.016,0.43,0.779,1,0.797,0.007,-0.069,-0.161,-0.106,-0.106,-0.153,-0.015,-0.041,0.044,0.018,0.1
"DevHighPer_300m",0.744,0.007,0.052,-0.011,0.297,0.58,0.797,1,0.004,-0.056,-0.11,-0.053,-0.102,-0.11,-0.033,-0.051,0.043,0.01,0.094
"BarrenPer_300m",-0.027,0.011,-0.036,0.032,-0.138,-0.021,0.007,0.004,1,-0.147,0.124,-0.077,0.15,0.01,-0.064,-0.102,-0.055,0.007,-0.157
"DeciduousPer_300m",-0.099,-0.021,-0.072,-0.023,0.126,-0.045,-0.069,-0.056,-0.147,1,-0.142,0.262,-0.377,-0.304,0.136,-0.118,-0.039,-0.208,-0.073
"EvergreenPer_300m",-0.19,-0.008,-0.198,0.072,-0.231,-0.177,-0.161,-0.11,0.124,-0.142,1,0.205,0.076,-0.292,-0.236,-0.367,-0.023,-0.208,-0.385
"MixedForPer_300m",-0.141,-0.012,-0.057,-0.004,-0.024,-0.089,-0.106,-0.053,-0.077,0.262,0.205,1,-0.137,-0.322,-0.136,-0.215,0.258,-0.128,-0.191
"ShrubPer_300m",-0.105,0.083,-0.23,0.028,-0.25,-0.141,-0.106,-0.102,0.15,-0.377,0.076,-0.137,1,-0.07,-0.163,-0.234,-0.141,-0.063,-0.189
"GrassPer_300m",-0.159,-0.031,0.073,-0.019,-0.177,-0.192,-0.153,-0.11,0.01,-0.304,-0.292,-0.322,-0.07,1,-0.108,0.026,-0.282,0.081,0.157
"PasturePer_300m",0.031,0,-0.049,-0.021,0.144,0.062,-0.015,-0.033,-0.064,0.136,-0.236,-0.136,-0.163,-0.108,1,0.228,-0.092,0.02,0.203
"CropsPer_300m",-0.005,-0.015,0.09,-0.019,0.132,0.02,-0.041,-0.051,-0.102,-0.118,-0.367,-0.215,-0.234,0.026,0.228,1,0.012,0.216,0.375
"WoodyWetPer_300m",0.049,-0.01,-0.049,-0.026,0.053,0.091,0.044,0.043,-0.055,-0.039,-0.023,0.258,-0.141,-0.282,-0.092,0.012,1,0.175,0.068
"HerbWetPer_300m",0.033,-0.011,0.097,-0.023,-0.039,0.032,0.018,0.01,0.007,-0.208,-0.208,-0.128,-0.063,0.081,0.02,0.216,0.175,1,0.203
"log1p(Data.play[, 158])",0.125,-0.033,0.125,-0.049,0.157,0.129,0.1,0.094,-0.157,-0.073,-0.385,-0.191,-0.189,0.157,0.203,0.375,0.068,0.203,1
