"","PercentImperv_300m","ImpervAreaKm2_300m","PercentNA_300m","WaterKm2_300m","IceSnowKm2_300m","DevOpenKm2_300m","DevLowKm2_300m","DevMedKm2_300m","DevHighKm2_300m","BarrenKm2_300m","DeciduousKm2_300m","EvergreenKm2_300m","MixedForKm2_300m","ShrubKm2_300m","GrassKm2_300m","PastureKm2_300m","CropsKm2_300m","WoodyWetKm2_300m","HerbWetKm2_300m","NLCD_NA_Per_300m","WaterPer_300m","IceSnowPer_300m","DevOpenPer_300m","DevLowPer_300m","DevMedPer_300m","DevHighPer_300m","BarrenPer_300m","DeciduousPer_300m","EvergreenPer_300m","MixedForPer_300m","ShrubPer_300m","GrassPer_300m","PasturePer_300m","CropsPer_300m","WoodyWetPer_300m","HerbWetPer_300m","CHLA"
"PercentImperv_300m",1,0.426,-0.004,0.053,-0.03,0.298,0.468,0.392,0.231,-0.022,0.011,-0.032,0.009,-0.032,-0.053,0.087,0.071,0.069,0.057,-0.005,0.065,-0.03,0.642,0.94,0.871,0.662,-0.023,-0.013,-0.168,-0.12,-0.09,-0.132,0.1,0.046,0.102,0.051,0.117
"ImpervAreaKm2_300m",0.426,1,0.147,0.713,-0.012,0.877,0.973,0.948,0.823,0.455,0.589,0.543,0.603,0.372,0.426,0.715,0.566,0.636,0.558,0.142,0.073,-0.012,0.275,0.418,0.412,0.352,0.05,0.074,0.024,0.064,-0.001,-0.05,0.117,0.021,0.095,0.06,0.078
"PercentNA_300m",-0.004,0.147,1,0.266,-0.001,0.1,0.122,0.174,0.143,0.059,0.07,0.086,0.082,0.239,0.012,0.124,0.095,0.1,0.119,1,0.057,-0.001,-0.025,-0.005,0.009,0.003,0.001,-0.019,-0.007,-0.007,0.064,-0.038,0.002,-0.01,-0.009,-0.006,-0.033
"WaterKm2_300m",0.053,0.713,0.266,1,-0.015,0.761,0.659,0.654,0.574,0.484,0.662,0.574,0.576,0.411,0.534,0.653,0.539,0.657,0.596,0.261,0.387,-0.015,0.079,0.071,0.065,0.054,0.059,0.081,0.016,0.049,-0.005,0.037,0.064,0.015,0.044,0.064,0.058
"IceSnowKm2_300m",-0.03,-0.012,-0.001,-0.015,1,-0.016,-0.013,-0.009,-0.006,-0.004,-0.016,0.016,-0.009,-0.001,-0.015,-0.012,-0.012,-0.012,-0.01,-0.001,-0.037,1,-0.043,-0.024,-0.016,-0.009,0.033,-0.027,0.056,-0.005,0.042,-0.024,-0.024,-0.021,-0.03,-0.024,-0.049
"DevOpenKm2_300m",0.298,0.877,0.1,0.761,-0.016,1,0.843,0.77,0.665,0.444,0.739,0.605,0.678,0.352,0.502,0.748,0.58,0.65,0.539,0.095,0.083,-0.016,0.409,0.301,0.225,0.16,0.025,0.178,0.045,0.112,-0.034,-0.021,0.146,0.048,0.073,0.021,0.085
"DevLowKm2_300m",0.468,0.973,0.122,0.659,-0.013,0.843,1,0.888,0.739,0.381,0.546,0.489,0.565,0.317,0.376,0.668,0.522,0.606,0.524,0.116,0.076,-0.013,0.306,0.501,0.415,0.312,0.03,0.084,0.008,0.069,-0.021,-0.06,0.128,0.034,0.113,0.069,0.096
"DevMedKm2_300m",0.392,0.948,0.174,0.654,-0.009,0.77,0.888,1,0.884,0.417,0.532,0.468,0.536,0.302,0.349,0.653,0.569,0.57,0.519,0.167,0.075,-0.009,0.216,0.358,0.451,0.398,0.037,0.064,0.014,0.046,-0.023,-0.059,0.091,0.025,0.082,0.059,0.069
"DevHighKm2_300m",0.231,0.823,0.143,0.574,-0.006,0.665,0.739,0.884,1,0.357,0.505,0.431,0.497,0.241,0.3,0.647,0.587,0.514,0.43,0.137,0.061,-0.006,0.134,0.198,0.258,0.348,0.022,0.074,0.03,0.052,-0.024,-0.039,0.097,0.048,0.071,0.03,0.06
"BarrenKm2_300m",-0.022,0.455,0.059,0.484,-0.004,0.444,0.381,0.417,0.357,1,0.366,0.393,0.354,0.466,0.451,0.458,0.387,0.454,0.494,0.057,-0.035,-0.004,-0.053,-0.019,-0.004,-0.01,0.447,-0.021,0.047,0.002,0.112,0.02,0.019,-0.032,0.007,0.017,-0.063
"DeciduousKm2_300m",0.011,0.589,0.07,0.662,-0.016,0.739,0.546,0.532,0.505,0.366,1,0.522,0.654,0.193,0.354,0.665,0.418,0.483,0.343,0.068,0.069,-0.016,0.162,0.046,0.012,0.009,0.004,0.548,0.061,0.207,-0.151,-0.104,0.161,-0.046,-0.011,-0.095,-0.003
"EvergreenKm2_300m",-0.032,0.543,0.086,0.574,0.016,0.605,0.489,0.468,0.431,0.393,0.522,1,0.692,0.443,0.269,0.525,0.254,0.561,0.295,0.081,-0.041,0.016,-0.03,-0.019,-0.031,-0.02,0.115,0.004,0.575,0.196,0.158,-0.135,-0.037,-0.201,0.041,-0.12,-0.148
"MixedForKm2_300m",0.009,0.603,0.082,0.576,-0.009,0.678,0.565,0.536,0.497,0.354,0.654,0.692,1,0.328,0.248,0.609,0.376,0.627,0.32,0.078,0.039,-0.009,0.077,0.037,0.009,0.021,0.017,0.21,0.246,0.519,0.014,-0.148,0.045,-0.075,0.168,-0.057,-0.027
"ShrubKm2_300m",-0.032,0.372,0.239,0.411,-0.001,0.352,0.317,0.302,0.241,0.466,0.193,0.443,0.328,1,0.318,0.34,0.173,0.406,0.296,0.239,-0.128,-0.001,-0.124,-0.047,-0.04,-0.047,0.166,-0.221,0.091,-0.057,0.651,-0.014,-0.052,-0.16,-0.043,-0.033,-0.113
"GrassKm2_300m",-0.053,0.426,0.012,0.534,-0.015,0.502,0.376,0.349,0.3,0.451,0.354,0.269,0.248,0.318,1,0.406,0.351,0.326,0.451,0.011,0.054,-0.015,-0.025,-0.056,-0.053,-0.037,0.081,-0.117,-0.161,-0.151,0.016,0.585,-0.031,0.002,-0.125,0.072,0.058
"PastureKm2_300m",0.087,0.715,0.124,0.653,-0.012,0.748,0.668,0.653,0.647,0.458,0.665,0.525,0.609,0.34,0.406,1,0.637,0.61,0.488,0.118,0.034,-0.012,0.141,0.111,0.05,0.038,0.052,0.167,0.004,0.05,-0.02,-0.013,0.474,0.127,0.026,0.029,0.096
"CropsKm2_300m",0.071,0.566,0.095,0.539,-0.012,0.58,0.522,0.569,0.587,0.387,0.418,0.254,0.376,0.173,0.351,0.637,1,0.527,0.536,0.09,0.1,-0.012,0.162,0.095,0.042,0.032,-0.002,0.017,-0.179,-0.051,-0.111,0.043,0.203,0.559,0.07,0.18,0.231
"WoodyWetKm2_300m",0.069,0.636,0.1,0.657,-0.012,0.65,0.606,0.57,0.514,0.454,0.483,0.561,0.627,0.406,0.326,0.61,0.527,1,0.641,0.096,0.05,-0.012,0.078,0.102,0.061,0.05,0.04,0.037,0.085,0.167,0.032,-0.112,0.056,0.026,0.477,0.145,0.104
"HerbWetKm2_300m",0.057,0.558,0.119,0.596,-0.01,0.539,0.524,0.519,0.43,0.494,0.343,0.295,0.32,0.296,0.451,0.488,0.536,0.641,1,0.114,0.08,-0.01,0.035,0.068,0.053,0.036,0.09,-0.041,-0.062,-0.026,0.022,0.051,0.065,0.087,0.152,0.482,0.096
"NLCD_NA_Per_300m",-0.005,0.142,1,0.261,-0.001,0.095,0.116,0.167,0.137,0.057,0.068,0.081,0.078,0.239,0.011,0.118,0.09,0.096,0.114,1,0.056,-0.001,-0.026,-0.006,0.008,0.003,0,-0.019,-0.008,-0.008,0.065,-0.038,0.001,-0.011,-0.01,-0.007,-0.032
"WaterPer_300m",0.065,0.073,0.057,0.387,-0.037,0.083,0.076,0.075,0.061,-0.035,0.069,-0.041,0.039,-0.128,0.054,0.034,0.1,0.05,0.08,0.056,1,-0.037,0.096,0.072,0.08,0.071,-0.052,0.026,-0.195,-0.012,-0.284,0.071,-0.01,0.15,0.004,0.129,0.121
"IceSnowPer_300m",-0.03,-0.012,-0.001,-0.015,1,-0.016,-0.013,-0.009,-0.006,-0.004,-0.016,0.016,-0.009,-0.001,-0.015,-0.012,-0.012,-0.012,-0.01,-0.001,-0.037,1,-0.043,-0.024,-0.016,-0.009,0.033,-0.027,0.056,-0.005,0.042,-0.024,-0.024,-0.021,-0.03,-0.024,-0.049
"DevOpenPer_300m",0.642,0.275,-0.025,0.079,-0.043,0.409,0.306,0.216,0.134,-0.053,0.162,-0.03,0.077,-0.124,-0.025,0.141,0.162,0.078,0.035,-0.026,0.096,-0.043,1,0.607,0.439,0.273,-0.161,0.237,-0.184,0.018,-0.25,-0.12,0.222,0.209,0.089,-0.024,0.172
"DevLowPer_300m",0.94,0.418,-0.005,0.071,-0.024,0.301,0.501,0.358,0.198,-0.019,0.046,-0.019,0.037,-0.047,-0.056,0.111,0.095,0.102,0.068,-0.006,0.072,-0.024,0.607,1,0.776,0.535,-0.016,0.048,-0.15,-0.069,-0.12,-0.159,0.134,0.079,0.146,0.053,0.124
"DevMedPer_300m",0.871,0.412,0.009,0.065,-0.016,0.225,0.415,0.451,0.258,-0.004,0.012,-0.031,0.009,-0.04,-0.053,0.05,0.042,0.061,0.053,0.008,0.08,-0.016,0.439,0.776,1,0.772,0.001,-0.023,-0.148,-0.097,-0.108,-0.137,0.007,-0.017,0.081,0.033,0.097
"DevHighPer_300m",0.662,0.352,0.003,0.054,-0.009,0.16,0.312,0.398,0.348,-0.01,0.009,-0.02,0.021,-0.047,-0.037,0.038,0.032,0.05,0.036,0.003,0.071,-0.009,0.273,0.535,0.772,1,-0.012,-0.036,-0.103,-0.057,-0.092,-0.104,-0.035,-0.035,0.062,0.017,0.095
