"","ImpervAreaKm2_MaxDist","WaterKm2_MaxDist","IceSnowKm2_MaxDist","DevOpenKm2_MaxDist","DevLowKm2_MaxDist","DevMedKm2_MaxDist","DevHighKm2_MaxDist","BarrenKm2_MaxDist","DeciduousKm2_MaxDist","EvergreenKm2_MaxDist","MixedForKm2_MaxDist","ShrubKm2_MaxDist","GrassKm2_MaxDist","PastureKm2_MaxDist","CropsKm2_MaxDist","WoodyWetKm2_MaxDist","HerbWetKm2_MaxDist","CHLA"
"ImpervAreaKm2_MaxDist",1,0.772,-0.011,0.914,0.987,0.956,0.861,0.583,0.649,0.616,0.64,0.544,0.582,0.826,0.73,0.747,0.701,0.077
"WaterKm2_MaxDist",0.772,1,-0.014,0.825,0.739,0.698,0.627,0.577,0.714,0.639,0.61,0.551,0.622,0.764,0.673,0.729,0.696,0.066
"IceSnowKm2_MaxDist",-0.011,-0.014,1,-0.014,-0.011,-0.008,-0.005,-0.005,-0.014,0.01,-0.009,-0.004,-0.014,-0.011,-0.011,-0.011,-0.01,-0.049
"DevOpenKm2_MaxDist",0.914,0.825,-0.014,1,0.903,0.809,0.709,0.544,0.778,0.681,0.694,0.546,0.652,0.852,0.729,0.775,0.693,0.083
"DevLowKm2_MaxDist",0.987,0.739,-0.011,0.903,1,0.925,0.817,0.535,0.635,0.591,0.633,0.51,0.557,0.812,0.719,0.736,0.679,0.09
"DevMedKm2_MaxDist",0.956,0.698,-0.008,0.809,0.925,1,0.941,0.537,0.567,0.508,0.564,0.437,0.473,0.748,0.713,0.659,0.657,0.073
"DevHighKm2_MaxDist",0.861,0.627,-0.005,0.709,0.817,0.941,1,0.483,0.527,0.45,0.523,0.35,0.405,0.7,0.68,0.604,0.598,0.077
"BarrenKm2_MaxDist",0.583,0.577,-0.005,0.544,0.535,0.537,0.483,1,0.399,0.469,0.406,0.581,0.503,0.548,0.475,0.537,0.56,-0.038
"DeciduousKm2_MaxDist",0.649,0.714,-0.014,0.778,0.635,0.567,0.527,0.399,1,0.593,0.728,0.345,0.461,0.717,0.502,0.598,0.454,0.007
"EvergreenKm2_MaxDist",0.616,0.639,0.01,0.681,0.591,0.508,0.45,0.469,0.593,1,0.725,0.625,0.423,0.624,0.357,0.671,0.451,-0.105
"MixedForKm2_MaxDist",0.64,0.61,-0.009,0.694,0.633,0.564,0.523,0.406,0.728,0.725,1,0.452,0.342,0.684,0.436,0.703,0.419,0.004
"ShrubKm2_MaxDist",0.544,0.551,-0.004,0.546,0.51,0.437,0.35,0.581,0.345,0.625,0.452,1,0.493,0.523,0.345,0.571,0.487,-0.08
"GrassKm2_MaxDist",0.582,0.622,-0.014,0.652,0.557,0.473,0.405,0.503,0.461,0.423,0.342,0.493,1,0.57,0.545,0.504,0.56,0.04
"PastureKm2_MaxDist",0.826,0.764,-0.011,0.852,0.812,0.748,0.7,0.548,0.717,0.624,0.684,0.523,0.57,1,0.741,0.762,0.698,0.093
"CropsKm2_MaxDist",0.73,0.673,-0.011,0.729,0.719,0.713,0.68,0.475,0.502,0.357,0.436,0.345,0.545,0.741,1,0.609,0.719,0.159
"WoodyWetKm2_MaxDist",0.747,0.729,-0.011,0.775,0.736,0.659,0.604,0.537,0.598,0.671,0.703,0.571,0.504,0.762,0.609,1,0.737,0.093
"HerbWetKm2_MaxDist",0.701,0.696,-0.01,0.693,0.679,0.657,0.598,0.56,0.454,0.451,0.419,0.487,0.56,0.698,0.719,0.737,1,0.098
"CHLA",0.077,0.066,-0.049,0.083,0.09,0.073,0.077,-0.038,0.007,-0.105,0.004,-0.08,0.04,0.093,0.159,0.093,0.098,1
