"SITE_ID","NTL","PTL","CHLA","WSA_ECO9","Year"
"NLA06608-0029",2106,247,123.12,"CPL",2007
"NLA06608-0031",428,32,5.264,"SAP",2007
"NLA06608-0033",835,67,8.92,"WMT",2007
"NLA06608-0036",178,8,5.069,"TPL",2007
"NLA06608-0048",773,111,54,"CPL",2007
"NLA06608-0049",256,15,1.136,"WMT",2007
"NLA06608-0050",303,16,3.952,"NAP",2007
"NLA06608-0053",246,29,6.256,"NAP",2007
"NLA06608-0057",1756,218,125.396,"SAP",2007
"NLA06608-0061",481,19,3.5,"XER",2007
"NLA06608-0037",239,14,8.016,"NAP",2007
"NLA06608-0038",158,4,4.328,"NAP",2007
"NLA06608-0041",476,1,0.884,"SAP",2007
"NLA06608-0042",213,15,2.208,"WMT",2007
"NLA06608-0043",645,9,5.409,"UMW",2007
"NLA06608-0044",4108,601,135.61,"SPL",2007
"NLA06608-0045",648,54,20.16,"SAP",2007
"NLA06608-0001",151,6,0.24,"WMT",2007
"NLA06608-0002",695,36,3.84,"CPL",2007
"NLA06608-0003",738,43,16.96,"CPL",2007
"NLA06608-0004",344,18,4.6,"WMT",2007
"NLA06608-0005",85,4,1.205,"WMT",2007
"NLA06608-0006",184,7,4.08,"NAP",2007
"NLA06608-0065",71,1,0.568,"WMT",2007
"NLA06608-0066",665,7,1.749,"SAP",2007
"NLA06608-0007",493,8,2.432,"UMW",2007
"NLA06608-0008",801,66,30.24,"TPL",2007
"NLA06608-0010",473,10,4.384,"UMW",2007
"NLA06608-0012",1026,159,4.9,"SPL",2007
"NLA06608-0013",384,28,16.027,"CPL",2007
"NLA06608-0014",4147,175,8.748,"TPL",2007
"NLA06608-0015",470,109,20,"XER",2007
"NLA06608-0016",490,6,13,"SPL",2007
"NLA06608-0019",7047,801,4.032,"NPL",2007
"NLA06608-0020",605,30,20.24,"TPL",2007
"NLA06608-0021",390,7,2.292,"NAP",2007
"NLA06608-0023",349,12,2.776,"SPL",2007
"NLA06608-0024",860,35,44.151,"CPL",2007
"NLA06608-0025",195,10,1.304,"SAP",2007
"NLA06608-0062",2834,152,2.184,"NPL",2007
"NLA06608-0064",3366,2047,19.04,"NPL",2007
"NLA06608-0068",168,1,0.953,"WMT",2007
"NLA06608-0069",420,39,7.408,"CPL",2007
"NLA06608-0071",2441,415,198.72,"CPL",2007
"NLA06608-0072",1724,174,10.128,"SPL",2007
"NLA06608-0073",1055,4679,0.494,"XER",2007
"NLA06608-0076",436,24,10.88,"TPL",2007
"NLA06608-0077",1461,116,67.968,"NAP",2007
"NLA06608-0078",4747,136,10.016,"TPL",2007
"NLA06608-0079",97,4,2.352,"WMT",2007
"NLA06608-0080",956,100,58.464,"CPL",2007
"NLA06608-0081",741,22,6.664,"WMT",2007
"NLA06608-0083",3925,50,3.744,"NPL",2007
"NLA06608-0085",1581,417,4.04,"XER",2007
"NLA06608-0086",288,20,18.24,"WMT",2007
